,Location,Number of rooms,Floor number,Area of apartment,Price,Currency,Date,Condition,Document status
123,Nəsimi r.,2 otaqlı,18/20 mərtəbə,53 m²,216 000,AZN,2024-10-27,Təmirli,Çıxarış var
124,Dərnəgül m.,3 otaqlı,17/18 mərtəbə,103 m²,210 000,AZN,2024-11-22,Təmirli,Çıxarış var
125,Bakıxanov q.,1 otaqlı,10/14 mərtəbə,41 m²,102 000,AZN,2024-11-10,Təmirli,Çıxarış var
126,Şah İsmayıl Xətai m.,3 otaqlı,3/19 mərtəbə,150 m²,310 000,AZN,2024-11-07,Təmirli,Çıxarış var
127,Hövsan q.,3 otaqlı,4/9 mərtəbə,75 m²,98 000,AZN,2024-11-19,Təmirli,Çıxarış var
128,İnşaatçılar m.,2 otaqlı,12/18 mərtəbə,103 m²,217 000,AZN,2024-11-22,Təmirli,Müqavilə
129,Gənclik m.,2 otaqlı,5/16 mərtəbə,57 m²,170 000,AZN,2024-05-25,Təmirli,Müqavilə
130,Nəsimi r.,3 otaqlı,6/20 mərtəbə,91.2 m²,285 000,AZN,2024-09-25,Təmirli,Müqavilə
131,Elmlər Akademiyası m.,3 otaqlı,3/12 mərtəbə,80 m²,270 000,AZN,2024-10-19,Təmirli,Müqavilə
132,Məmmədli q.,2 otaqlı,9/10 mərtəbə,93 m²,86 500,AZN,2024-11-17,Təmirsiz,Müqavilə
133,Nərimanov r.,3 otaqlı,10/11 mərtəbə,120 m²,370 000,AZN,2024-11-14,Təmirli,Müqavilə
134,Həzi Aslanov m.,3 otaqlı,16/17 mərtəbə,110 m²,185 000,AZN,2024-11-22,Təmirli,Çıxarış var
135,Həzi Aslanov m.,2 otaqlı,3/15 mərtəbə,51 m²,148 000,AZN,2024-11-17,Təmirli,Çıxarış var
136,Nizami m.,4 otaqlı,10/17 mərtəbə,167 m²,399 000,AZN,2024-10-26,Təmirli,Çıxarış var
137,Nəsimi r.,3 otaqlı,15/17 mərtəbə,136 m²,360 000,AZN,2024-08-27,Təmirli,Çıxarış var
138,Nizami m.,3 otaqlı,8/15 mərtəbə,124 m²,310 000,AZN,2024-11-09,Təmirli,Çıxarış var
139,Xətai r.,2 otaqlı,14/16 mərtəbə,59 m²,138 000,AZN,2024-11-17,Təmirli,Müqavilə
140,Memar Əcəmi m.,2 otaqlı,4/16 mərtəbə,86 m²,194 000,AZN,2024-11-11,Təmirli,Çıxarış var
141,Elmlər Akademiyası m.,2 otaqlı,4/15 mərtəbə,55 m²,130 000,AZN,2024-09-04,Təmirli,Çıxarış var
142,Nəsimi r.,3 otaqlı,14/17 mərtəbə,136 m²,369 000,AZN,2024-11-21,Təmirli,Çıxarış var
143,Nizami m.,5 otaqlı,15/16 mərtəbə,371 m²,1 309 630,AZN,2024-11-02,Təmirsiz,Müqavilə
144,Nizami m.,2 otaqlı,6/18 mərtəbə,93 m²,329 000,AZN,2024-08-09,Təmirli,Çıxarış var
145,Nizami m.,3 otaqlı,6/16 mərtəbə,100 m²,290 000,AZN,2024-11-09,Təmirli,Çıxarış var
146,Nəriman Nərimanov m.,4 otaqlı,2/15 mərtəbə,133 m²,350 000,AZN,2024-11-22,Təmirli,Çıxarış var
147,28 May m.,2 otaqlı,16/16 mərtəbə,57.8 m²,155 000,AZN,2024-11-14,Təmirsiz,Müqavilə
148,Nizami m.,3 otaqlı,12/14 mərtəbə,132 m²,370 000,AZN,2024-11-20,Təmirsiz,Çıxarış var
149,Nəriman Nərimanov m.,4 otaqlı,6/15 mərtəbə,225 m²,625 000,AZN,2024-11-22,Təmirli,Müqavilə
150,8 Noyabr m.,3 otaqlı,2/15 mərtəbə,148 m²,255 000,AZN,2024-11-22,Təmirli,Çıxarış var
151,İçəri Şəhər m.,4 otaqlı,10/14 mərtəbə,162.8 m²,457 000,AZN,2024-10-30,Təmirsiz,Müqavilə
152,Nərimanov r.,2 otaqlı,14/17 mərtəbə,57 m²,163 000,AZN,2024-05-05,Təmirli,Müqavilə
153,Masazır q.,2 otaqlı,5/6 mərtəbə,55 m²,79 000,AZN,2024-04-24,Təmirli,Çıxarış var
154,Nəriman Nərimanov m.,2 otaqlı,9/17 mərtəbə,54 m²,185 000,AZN,2024-08-09,Təmirsiz,Müqavilə
155,Yasamal q.,3 otaqlı,2/21 mərtəbə,170 m²,250 000,AZN,2024-11-22,Təmirli,Müqavilə
156,İnşaatçılar m.,3 otaqlı,11/17 mərtəbə,155 m²,300 000,AZN,2024-11-22,Təmirsiz,Çıxarış var
157,İnşaatçılar m.,2 otaqlı,4/20 mərtəbə,63 m²,129 000,AZN,2024-11-12,Təmirli,Çıxarış var
158,Əhmədli m.,2 otaqlı,12/13 mərtəbə,60 m²,163 000,AZN,2024-11-22,Təmirli,Çıxarış var
159,Kubinka q.,3 otaqlı,6/16 mərtəbə,97.6 m²,380 000,AZN,2024-11-02,Təmirli,Çıxarış var
160,İnşaatçılar m.,2 otaqlı,7/16 mərtəbə,72 m²,177 000,AZN,2024-11-22,Təmirli,Çıxarış var
